same,different
0.3941,0.1327
0.0589,0.2480
0.3165,0.1383
0.2020,0.0208
0.1120,0.0809
0.3273,0.4812
0.2515,0.1141
0.5235,0.5199
,0.1898
,0.3379
,0.0122
,0.4140
,0.1396
,0.1713
,0.0883
,0.5122
,
,
,
,
