same,different
0.2516,0.1571
0.3831,0.1831
0.6623,0.1682
0.3377,0.4160
0.2632,0.0309
0.2137,0.4766
0.0940,0.0745
0.0441,0.4048
,0.5564
,0.1720
,0.0169
,0.6506
,0.3532
,0.2016
,0.2649
,0.0610
,
,
,
,
