same,different
0.4299,0.7541
0.3412,0.4339
0.9199,0.4565
0.6333,0.0058
0.7541,0.0004
0.7998,0.0000
0.6839,0.3778
0.4541,0.6890
0.4394,0.4538
,1.0952
,0.7678
,0.9153
,0.6337
,0.2782
,0.4299
,0.0421
,0.0378
,0.2743
,0.1935
,0.1663
