same,different
0.9170,0.2020
0.1719,0.3686
0.3720,0.7314
0.0792,0.1919
0.1793,0.5597
0.4533,0.0229
0.8068,0.3032
0.4394,0.6397
0.3238,0.1282
,1.0695
,0.8757
,0.5540
,0.6319
,0.4884
,0.9351
,0.6049
,0.4689
,0.2846
,0.2069
,0.1713
