same,different
0.3278,0.0918
0.2018,0.2898
0.6296,0.0006
0.1298,0.2690
0.1783,0.1154
0.1759,0.2048
0.0144,0.0150
0.1284,0.4165
,0.4845
,0.1304
,0.0402
,0.5840
,0.3153
,0.4390
,0.1448
,0.1684
,
,
,
,
