same,different
0.6375,0.5020
0.2894,0.4056
0.7143,0.5432
0.5128,0.0178
0.5007,0.1637
0.6528,0.0015
0.6710,0.1202
0.2278,0.6552
0.3456,0.3879
,1.0551
,0.8011
,0.7298
,0.3566
,0.2327
,0.6388
,0.2196
,0.1706
,0.0670
,0.1314
,0.1152
