size,time_mixed,class,time_bed,Season,Duration_Ratio
63.0,0.0,Fine Sand,0.0,Spring,
75.0,0.0,Fine Sand,0.0,Spring,
88.0,0.0,Fine Sand,0.0,Spring,
100.0,0.0,Fine Sand,0.0,Spring,
144.0,0.25,Fine Sand,0.0,Spring,0.0
200.0,186.0,Fine Sand,64.75,Spring,0.3481182795698925
280.0,396.25,Fine Sand,191.75,Spring,0.48391167192429024
330.0,562.75,Fine Sand,337.5,Spring,0.5997334517992003
460.0,1385.0,Fine Sand,1083.0,Spring,0.7819494584837545
500.0,1593.75,Fine Sand,1267.5,Spring,0.7952941176470588
600.0,2204.25,Fine Sand,1826.75,Spring,0.828739934217988
700.0,2621.5,Fine Sand,2193.75,Spring,0.8368300591264544
850.0,2711.75,Coarse Sand,2211.25,Spring,0.8154328385728773
900.0,2710.25,Coarse Sand,2192.25,Spring,0.8088737201365188
1000.0,2703.75,Coarse Sand,2149.25,Spring,0.794914470642626
1200.0,2630.25,Coarse Sand,2065.0,Spring,0.7850964737192282
1400.0,2549.75,Coarse Sand,1956.25,Spring,0.7672320815766251
1600.0,2507.75,Coarse Sand,1835.0,Spring,0.731731631940983
1800.0,2487.0,Coarse Sand,1719.0,Spring,0.6911942098914354
2000.0,2461.25,Coarse Sand,1604.5,Spring,0.6519045200609447
63.0,0.0,Fine Sand,0.0,Summer,
75.0,0.0,Fine Sand,0.0,Summer,
88.0,68.25,Fine Sand,0.0,Summer,0.0
100.0,790.75,Fine Sand,0.0,Summer,0.0
144.0,1701.0,Fine Sand,0.0,Summer,0.0
200.0,2102.0,Fine Sand,36.75,Summer,0.01748334919124643
280.0,2111.0,Fine Sand,9.0,Summer,0.004263382283278067
330.0,2110.5,Fine Sand,6.75,Summer,0.0031982942430703624
460.0,1701.25,Fine Sand,2.75,Summer,0.0016164584864070536
500.0,1321.25,Fine Sand,1.5,Summer,0.0011352885525070956
600.0,1003.25,Fine Sand,1.5,Summer,0.00149514079242462
700.0,734.75,Fine Sand,1.25,Summer,0.001701258931609391
850.0,377.0,Coarse Sand,1.0,Summer,0.002652519893899204
900.0,310.0,Coarse Sand,1.0,Summer,0.0032258064516129032
1000.0,190.75,Coarse Sand,0.75,Summer,0.003931847968545216
1200.0,27.25,Coarse Sand,0.25,Summer,0.009174311926605505
1400.0,15.5,Coarse Sand,0.25,Summer,0.016129032258064516
1600.0,10.0,Coarse Sand,0.0,Summer,0.0
1800.0,4.75,Coarse Sand,0.0,Summer,0.0
2000.0,2.75,Coarse Sand,0.0,Summer,0.0
