size,class,time_in_suspension,time_as_mixed_load,time_as_bedload
0.5,Clay,87.25,0.0,0.0
1.0,Clay,87.25,0.0,0.0
2.0,Silt,87.25,0.0,0.0
5.0,Silt,87.25,0.0,0.0
20.0,Silt,87.25,0.0,0.0
45.0,Silt,87.25,0.0,0.0
63.0,Fine Sand,87.25,0.0,0.0
75.0,Fine Sand,87.25,0.0,0.0
88.0,Fine Sand,85.0,2.25,0.0
100.0,Fine Sand,78.25,9.0,0.0
144.0,Fine Sand,31.5,55.75,0.0
200.0,Fine Sand,2.5,84.75,1.75
280.0,Fine Sand,1.0,86.25,1.5
330.0,Fine Sand,0.25,87.0,2.0
390.0,Fine Sand,0.0,85.75,0.0
460.0,Fine Sand,0.0,82.5,1.75
500.0,Fine Sand,0.0,78.25,1.5
550.0,Fine Sand,0.0,76.0,1.5
600.0,Fine Sand,0.0,69.5,1.5
650.0,Fine Sand,0.0,61.0,1.5
700.0,Fine Sand,0.0,52.5,1.25
750.0,Fine Sand,0.0,45.75,1.25
850.0,Coarse Sand,0.0,27.75,1.0
900.0,Coarse Sand,0.0,21.5,1.0
1000.0,Coarse Sand,0.0,12.25,0.75
1200.0,Coarse Sand,0.0,3.25,0.25
1400.0,Coarse Sand,0.0,3.0,0.25
1600.0,Coarse Sand,0.0,2.5,0.0
1800.0,Coarse Sand,0.0,2.25,0.0
2000.0,Coarse Sand,0.0,1.75,0.0
