size,time_mixed,class,time_bed,Season,Duration_Ratio
63.0,0.0,Fine Sand,0.0,Spring,
75.0,0.0,Fine Sand,0.0,Spring,
88.0,0.0,Fine Sand,0.0,Spring,
100.0,0.0,Fine Sand,0.0,Spring,
144.0,0.0,Fine Sand,0.0,Spring,
200.0,0.0,Fine Sand,0.0,Spring,
280.0,0.0,Fine Sand,0.0,Spring,
330.0,0.0,Fine Sand,0.0,Spring,
460.0,0.0,Fine Sand,0.0,Spring,
500.0,0.0,Fine Sand,0.0,Spring,
550.0,0.0,Fine Sand,0.0,Spring,
600.0,11.5,Fine Sand,3.5,Spring,0.30434782608695654
650.0,122.5,Fine Sand,56.0,Spring,0.45714285714285713
700.0,207.75,Fine Sand,185.0,Spring,0.8904933814681107
750.0,230.75,Fine Sand,219.0,Spring,0.9490790899241603
850.0,256.0,Coarse Sand,252.0,Spring,0.984375
900.0,256.0,Coarse Sand,256.0,Spring,1.0
1000.0,256.0,Coarse Sand,256.0,Spring,1.0
1200.0,256.0,Coarse Sand,256.0,Spring,1.0
1400.0,256.0,Coarse Sand,256.0,Spring,1.0
1600.0,256.0,Coarse Sand,256.0,Spring,1.0
1800.0,256.0,Coarse Sand,256.0,Spring,1.0
2000.0,256.0,Coarse Sand,256.0,Spring,1.0
63.0,0.0,Fine Sand,0.0,Summer,
75.0,0.0,Fine Sand,0.0,Summer,
88.0,2.25,Fine Sand,0.0,Summer,0.0
100.0,9.0,Fine Sand,0.0,Summer,0.0
144.0,55.75,Fine Sand,0.0,Summer,0.0
200.0,84.75,Fine Sand,1.75,Summer,0.02064896755162242
280.0,86.25,Fine Sand,1.5,Summer,0.017391304347826087
330.0,87.0,Fine Sand,2.0,Summer,0.022988505747126436
460.0,82.5,Fine Sand,1.75,Summer,0.021212121212121213
500.0,78.25,Fine Sand,1.5,Summer,0.019169329073482427
550.0,76.0,Fine Sand,1.5,Summer,0.019736842105263157
600.0,69.5,Fine Sand,1.5,Summer,0.02158273381294964
650.0,61.0,Fine Sand,1.5,Summer,0.02459016393442623
700.0,52.5,Fine Sand,1.25,Summer,0.023809523809523808
750.0,45.75,Fine Sand,1.25,Summer,0.0273224043715847
850.0,27.75,Coarse Sand,1.0,Summer,0.036036036036036036
900.0,21.5,Coarse Sand,1.0,Summer,0.046511627906976744
1000.0,12.25,Coarse Sand,0.75,Summer,0.061224489795918366
1200.0,3.25,Coarse Sand,0.25,Summer,0.07692307692307693
1400.0,3.0,Coarse Sand,0.25,Summer,0.08333333333333333
1600.0,2.5,Coarse Sand,0.0,Summer,0.0
1800.0,2.25,Coarse Sand,0.0,Summer,0.0
2000.0,1.75,Coarse Sand,0.0,Summer,0.0
