size,class,time_in_suspension,time_as_mixed_load,time_as_bedload
0.5,Clay,2712.0,0.0,0.0
1.0,Clay,2712.0,0.0,0.0
2.0,Silt,2712.0,0.0,0.0
5.0,Silt,2712.0,0.0,0.0
20.0,Silt,2712.0,0.0,0.0
45.0,Silt,2712.0,0.0,0.0
63.0,Fine Sand,2712.0,0.0,0.0
75.0,Fine Sand,2712.0,0.0,0.0
88.0,Fine Sand,2712.0,0.0,0.0
100.0,Fine Sand,2712.0,0.0,0.0
144.0,Fine Sand,2711.75,0.25,0.0
200.0,Fine Sand,2526.0,186.0,64.75
280.0,Fine Sand,2315.75,396.25,191.75
330.0,Fine Sand,2149.25,562.75,337.5
390.0,Fine Sand,1835.0,877.0,0.0
460.0,Fine Sand,1327.0,1385.0,1083.0
500.0,Fine Sand,1118.25,1593.75,1267.5
550.0,Fine Sand,857.25,1854.75,1498.0
600.0,Fine Sand,507.75,2204.25,1826.75
650.0,Fine Sand,214.5,2497.5,2101.25
700.0,Fine Sand,90.5,2621.5,2193.75
750.0,Fine Sand,35.5,2676.5,2233.75
850.0,Coarse Sand,0.0,2711.75,2211.25
900.0,Coarse Sand,0.0,2710.25,2192.25
1000.0,Coarse Sand,0.0,2703.75,2149.25
1200.0,Coarse Sand,0.0,2630.25,2065.0
1400.0,Coarse Sand,0.0,2549.75,1956.25
1600.0,Coarse Sand,0.0,2507.75,1835.0
1800.0,Coarse Sand,0.0,2487.0,1719.0
2000.0,Coarse Sand,0.0,2461.25,1604.5
