Size ,ST4-D2,ST4-D3,ST4-D4,ST4-D5,ST4-D6,ST5-D1,ST5-D2,ST5-D3,ST5-D4,ST5-D5,ST7-D1,ST7-D2,ST7-D3,ST7-D5,ST7-D6,ST4-U1,ST4-U2,ST4-U3,ST4-U4,ST4-U5,ST4-U6,ST4-U7,ST4-U9,ST4-U11,ST4-U14,ST5-U1,ST5-U2,ST5-U3,ST5-U4,ST5-U5,ST5-U6,ST5-U7,ST5-U8,ST5-U9,ST5-U10,ST5-U11,ST5-U12,ST6-U1,ST6-U2,ST6-U3,ST6-U4,ST6-U5,ST6-U8,ST6-U10,ST7-U1,ST7-U2,ST7-U3,ST7-U5,ST7-U7
0.37,0.08238032,0.045315397,0.06273072,0.027495308,0.065003783,0.053309552,0.02846817,0.023753268,0.016410242,0.013838216,0.03061313,0.02133142,0.013096601,0.012570729,0.01447837,0.0577181,0.085995523,0.0501492,0.050338983,0.043405506,0.031559265,0.0108796,0.009952386,0.01838057,0.009756789,0.018332395,0.018197204,0.0151866,0.01389147,0.012011213,0.01145733,0.009314663,0.006926364,0.012687081,0.007167441,0.011560662,0.01179886,0.043839384,0.022053711,0.021252816,0.017339486,0.016973366,0.016593724,0.013487904,0.01827614,0.02259064,0.020683078,0.013308127,0.010227726
0.44,0.08684423,0.047880394,0.06632472,0.028424238,0.069742058,0.056833426,0.030597963,0.025489609,0.017770674,0.015210902,0.033556722,0.023004448,0.013890338,0.01342781,0.015652304,0.0619936,0.092106899,0.05424945,0.054707235,0.047539363,0.034063983,0.01158912,0.011000004,0.020693374,0.010270302,0.019742616,0.019946942,0.016573525,0.014933335,0.01295947,0.012439387,0.010090889,0.007192746,0.013806525,0.0076675,0.01277757,0.01297874,0.046122019,0.023249025,0.022706604,0.018320954,0.01793414,0.017569807,0.014525448,0.019879297,0.02259064,0.024819688,0.014258722,0.011250504
0.52,0.0937431,0.051941702,0.07187896,0.030096242,0.076997623,0.061983644,0.034147631,0.028337206,0.019811335,0.017065894,0.038266422,0.02593231,0.01587468,0.014570616,0.017608839,0.0681013,0.101274015,0.0611883,0.06115559,0.054256882,0.03857245,0.0130082,0.012309521,0.02422342,0.010997784,0.021857861,0.022396558,0.018723225,0.016669769,0.014855963,0.013748796,0.011125856,0.007991946,0.01529913,0.008667607,0.014298696,0.01455192,0.049613039,0.025041996,0.024921864,0.020283917,0.01953539,0.019522026,0.016254648,0.022123742,0.026355752,0.024819688,0.01584302,0.012614202
0.61,0.10307682,0.057285509,0.07972032,0.032139783,0.087362731,0.069121711,0.039117134,0.032296097,0.022957349,0.019959681,0.045331011,0.029696654,0.018255862,0.016570504,0.020347997,0.0766521,0.114806295,0.07096585,0.070724203,0.064074794,0.045084664,0.0146638,0.014666671,0.029701074,0.011939235,0.025148318,0.025896006,0.022017125,0.019100771,0.017068563,0.015712932,0.012678307,0.009057546,0.017538017,0.010001091,0.016428294,0.01691168,0.054178309,0.027552207,0.02817558,0.022574036,0.021777147,0.022124948,0.018675552,0.025650731,0.030120863,0.028956298,0.018061042,0.01465974
0.72,0.11403381,0.063911814,0.08919528,0.034740716,0.100096929,0.077886199,0.045293508,0.037157868,0.026783564,0.023743849,0.05416171,0.034297575,0.021430809,0.01885607,0.024261068,0.0870353,0.130521155,0.08326655,0.082580895,0.076476367,0.0530997,0.01702892,0.017809523,0.037004604,0.013094634,0.028908792,0.030445314,0.02628185,0.022573663,0.020545483,0.018004398,0.014489478,0.010123128,0.020523206,0.011667939,0.019470582,0.02005806,0.059549092,0.030480722,0.032052312,0.025518496,0.024659409,0.025704007,0.02178816,0.029818976,0.033885945,0.037229546,0.020912786,0.017387136
0.85,0.12823734,0.072034376,0.10030384,0.038270536,0.114756077,0.088728853,0.052676796,0.042783642,0.03129001,0.028010323,0.064758555,0.040153235,0.025399465,0.02142736,0.028956761,0.0992508,0.149291756,0.09777515,0.096413738,0.090944818,0.062617604,0.01963056,0.02121429,0.044916794,0.014592396,0.033139368,0.0356945,0.031136025,0.026393803,0.024338512,0.020295864,0.016300671,0.011455128,0.024254698,0.013668152,0.022817088,0.023991,0.066195483,0.034126477,0.036621324,0.029117238,0.028182207,0.029283038,0.025592448,0.034628479,0.041416168,0.041366156,0.024715105,0.020455452
1.01,0.15461523,0.087210762,0.12056064,0.045701668,0.138447724,0.107522746,0.064035677,0.051604265,0.037922124,0.034317284,0.079476436,0.049355015,0.030955594,0.02628424,0.03560899,0.1191009,0.181158163,0.1192226,0.117422954,0.111614106,0.075642032,0.02412432,0.026190476,0.055020004,0.017502324,0.03972024,0.043393332,0.0376198,0.032644969,0.029395862,0.023896739,0.019405574,0.01358631,0.029851936,0.016335107,0.027988956,0.02949714,0.079286906,0.040820287,0.044236332,0.035333284,0.033946732,0.035465019,0.031125936,0.042644326,0.048946392,0.053776015,0.029784871,0.024887466
1.19,0.21751642,0.122693526,0.1689156,0.063536491,0.19367865,0.150802892,0.090161091,0.071607017,0.052971935,0.047858693,0.112444417,0.071104692,0.043258487,0.036569356,0.050869982,0.1661305,0.25493104,0.16811015,0.16588981,0.157086541,0.106199445,0.03358482,0.036404763,0.077174084,0.024391983,0.05452717,0.060540675,0.05235565,0.045147301,0.040458818,0.032407898,0.02639156,0.018381474,0.041792715,0.022669136,0.038941146,0.04129598,0.110773389,0.056777845,0.061543188,0.04972834,0.047077092,0.049455794,0.04323048,0.059958566,0.071537032,0.074459093,0.0415087,0.034774272
1.4,0.3278979,0.185109083,0.25419024,0.093261153,0.294219812,0.226791638,0.137229454,0.108000882,0.080095614,0.072159033,0.174259418,0.112094473,0.06667361,0.05542545,0.079044121,0.2507227,0.388507936,0.258631,0.255543125,0.242347304,0.16230479,0.05108678,0.055523803,0.120630172,0.035946078,0.081555725,0.09203582,0.0800244,0.067373668,0.060056044,0.047466125,0.038811126,0.026107038,0.062689082,0.034170381,0.058411728,0.06174734,0.165824434,0.084987436,0.093110904,0.074919651,0.070455489,0.074183692,0.065018616,0.092663213,0.109188088,0.11582522,0.063055209,0.053866008
1.65,0.42042352,0.238333284,0.32476232,0.116483567,0.379361468,0.290401704,0.177127493,0.138213346,0.102797884,0.092749412,0.230775978,0.150574649,0.087310682,0.071424527,0.104087812,0.3224887,0.501568123,0.33685115,0.333339749,0.317273475,0.210896023,0.06575058,0.072285709,0.159704116,0.045317748,0.104823806,0.118981687,0.1038445,0.086474463,0.076808521,0.059250807,0.048643273,0.031967802,0.08060024,0.043671425,0.074535804,0.07905232,0.211476512,0.108834118,0.120248064,0.097166531,0.090631385,0.095983288,0.084040032,0.122161545,0.146839145,0.153054766,0.081116231,0.070571304
