Date_Time,Sample ,Conc (mg/L),LabID,C_conc,S_conc,FS_conc,Q
2023-04-17 16:30:00,D1,23.16,205,0.168762767,9.656325691,13.3333477,0.1718863280113261
2023-04-17 20:30:00,D2,15.0,206,0.189732585,9.386492325,5.425531905,0.178582536262764
2023-04-18 00:30:00,D3,8.95,222,0.056863955,4.070310299,4.821338066,0.1736694335848236
2023-04-18 04:30:00,D4,9.5,207,0.07663503,4.451299797,4.972653185,0.1696517089600011
2023-04-18 16:30:00,D7,23.0,225,0.319972067,14.03493842,8.647427231,0.1843833664610841
2023-04-18 21:30:00,D8,15.0,226,0.125165115,5.702774115,9.17206077,0.1848272294061735
2023-04-19 02:30:00,D9,10.0,227,0.06821831,4.47458532,5.45719637,0.1767917785263275
2023-04-19 12:30:00,D11,3.5,229,0.028156477,1.874408028,1.597280875,0.1736694335848236
2023-04-21 09:30:00,D16,6.25,234,0.057663182,2.921887917,3.269588277,0.1768085288403878
2023-04-30 18:00:00,D50,42.0,323,0.532599144,17.81497801,23.65374455,0.1866689814563935
2023-04-30 23:00:00,D51,17.42,324,0.152104448,6.584296821,10.68239594,0.1866830517202042
2023-05-01 14:00:00,D54,6.0,327,0.07504488,3.102094554,2.822860572,0.1825712058172706
2023-05-01 20:00:00,D55,22.14,343,0.20720609,7.197582418,14.736735,0.1981355552569641
2023-05-02 03:00:00,D56,10.0,344,0.15141339,4.46487544,5.38231178,0.2021967703809111
2023-05-02 10:00:00,D57,6.43,345,0.109183207,2.67732675,3.642693361,0.1932381889081355
2023-05-02 17:00:00,D58,18.0,346,0.213139278,7.179464988,10.60385521,0.2280248058851227
2023-05-03 20:00:00,D65,20.67,350,0.253979284,7.687607033,12.72601482,0.2771364283834314
2023-05-04 02:00:00,D64,11.88,351,0.117770526,5.14925372,6.60844217,0.2645716355246245
2023-05-04 23:00:00,D70,7.14,356,0.0,4.28903898,2.853097169,0.2479749320329214
2023-04-18 16:30:00,UP7,21.5,213,0.193196402,11.50208604,9.806787586,0.1843833664610841
2023-04-18 21:30:00,UP8,11.05,214,0.125345409,5.146765021,5.78088959,0.1848272294061735
2023-04-19 02:30:00,UP9,18.0,215,0.13051701,9.79104663,8.077679676,0.1767917785263275
2023-04-19 07:30:00,UP10,6.5,216,0.048083514,3.213024916,3.238256837,0.1727817076946449
2023-04-19 22:30:00,UP13,6.0,219,0.120214668,3.800715558,2.082021468,0.1940509353389573
2023-04-20 03:30:00,UP14,8.89,220,0.123938714,5.064770038,3.699138318,0.1915989306302463
2023-04-20 23:30:00,UP17,4.67,237,0.083372744,2.382961581,2.200478324,0.1817388920852647
2023-04-21 19:30:00,UP20,17.86,240,0.139940148,7.34712322,10.37312918,0.1652100277730566
2023-04-22 05:30:00,UP22,6.67,242,0.042203752,2.523836114,4.104605465,0.1610587701336048
2023-04-22 15:30:00,UP24,5.33,244,0.034188274,2.55077872,2.747755062,0.1593875387258211
2023-04-22 20:30:00,UP25,8.0,245,0.062710528,4.197701856,3.740720928,0.1610587701336048
2023-04-24 02:00:00,UP30,8.67,250,0.035792924,3.790754988,4.840452469,0.174331508699146
2023-04-24 17:00:00,UP33,15.0,253,0.348451365,8.08738938,6.56526549,0.1899567135377566
2023-04-24 22:00:00,UP34,7.14,269,0.289832489,5.212088961,1.644016037,0.1899567135377566
2023-04-28 16:00:00,UP48,6.67,291,0.023654497,3.245219606,3.398036639,0.1535423246782933
2023-04-30 13:00:00,UP56,12.67,309,0.110248742,4.911581369,7.645169913,0.1693506874765758
2023-04-30 18:00:00,UP57,45.0,310,0.948947355,24.38947364,19.66105265,0.1866689814563935
2023-05-01 20:00:00,UP62,20.0,328,0.20143434,7.07171806,12.72715934,0.1981355552569641
2023-05-03 14:00:00,UP68,10.67,334,0.162347303,5.803041819,4.701341589,0.2143530756537636
2023-05-03 20:00:00,UP69,24.38,335,0.434608201,13.99309699,9.948134309,0.2771364283834314
2023-05-04 20:00:00,UP77,0.71,338,0.018580454,0.538435995,0.156870092,0.2511419151349705
2023-05-04 23:00:00,UP78,5.71,339,0.119397012,3.752728453,1.846389555,0.2479749320329214
2023-05-05 11:00:00,UP82,0.67,341,0.01518395,0.420644943,0.231197151,0.2167754318990374
