LabID,Date_Time,SSC (mg/L),SSC (uL/L)
211,4/18/2023 8:30,10,0
212,4/18/2023 12:30,6.818181818,0
213,4/18/2023 16:30,21.5,93.48
214,4/18/2023 21:30,11.05263158,53.79
215,4/19/2023 2:30,18,47.58
216,4/19/2023 7:30,6.5,30.72
217,4/19/2023 12:30,8,0
218,4/19/2023 17:30,12,0
219,4/19/2023 22:30,6,22.36
220,4/20/2023 3:30,8.888888889,30.83
221,4/20/2023 8:30,12.22222222,0
236,4/20/2023 18:30,6.875,0
237,4/20/2023 23:30,4.666666667,24.91
238,4/21/2023 9:30,5.333333333,0
239,4/21/2023 14:30,6,0
240,4/21/2023 19:30,17.85714286,67.13
241,4/22/2023 0:30,4,0
242,4/22/2023 5:30,6.666666667,51.68
243,4/22/2023 10:30,5.517241379,0
244,4/22/2023 15:30,5.333333333,57.56
245,4/22/2023 20:30,8,63.54
246,4/23/2023 1:30,7.333333333,0
248,4/23/2023 16:00,11.25,0
249,4/23/2023 21:00,5.161290323,0
250,4/24/2023 2:00,8.666666667,66.59
251,4/24/2023 7:00,8.571428571,0
253,4/24/2023 17:00,15,27.12
269,4/24/2023 22:00,7.142857143,14.59
270,4/25/2023 3:00,4.117647059,0
271,4/25/2023 13:00,7.142857143,0
273,4/26/2023 13:30,5.517241379,0
274,4/26/2023 19:00,11.33333333,0
283,4/27/2023 0:00,6.666666667,0
284,4/27/2023 5:00,5.294117647,0
286,4/27/2023 15:00,7.5,0
288,4/28/2023 1:00,8.125,0
289,4/28/2023 6:00,11.61290323,0
290,4/28/2023 11:00,8.125,0
291,4/28/2023 16:00,6.666666667,56.02
302,4/28/2023 21:00,3.75,0
303,4/29/2023 2:00,11.25,0
304,4/29/2023 12:00,4.666666667,0
305,4/29/2023 17:00,14.54545455,0
306,4/29/2023 22:00,9.285714286,0
307,4/30/2023 3:00,6.875,0
308,4/30/2023 8:00,2.5,0
309,4/30/2023 13:00,12.66666667,43.66
310,4/30/2023 18:00,45,85.5
311,4/30/2023 23:00,14,0
312,5/1/2023 4:00,10,0
313,5/1/2023 9:00,8.125,0
314,5/1/2023 14:00,13.52941176,0
328,5/1/2023 20:00,20,64.14
329,5/2/2023 3:00,10,0
331,5/2/2023 17:00,4.375,0
332,5/3/2023 0:00,3.333333333,0
333,5/3/2023 7:00,5,0
334,5/3/2023 14:00,10.66666667,39.62
335,5/3/2023 20:00,24.375,87.1
336,5/4/2023 5:00,5.625,0
337,5/4/2023 14:00,1.290322581,0
340,5/5/2023 5:00,2.142857143,0
,,,
