LabID,Date_Time,SSC (mg/L),SSC (uL/L)
442,7/29/2023 15:37,80.00000024,244.856
443,7/29/2023 15:52,43.33430055,233.25
446,7/29/2023 15:16,99.9998979,327.453
447,7/29/2023 15:31,105.5558544,241.809
448,7/29/2023 15:46,50.0025231,158.525
449,7/29/2023 16:01,68.88899987,132.472
450,7/29/2023 16:16,51.11255035,98.91
451,7/29/2023 16:31,45.26299991,90.357
452,7/29/2023 16:46,19.99976348,84.562
453,7/29/2023 17:16,15.4555238,59.01
454,7/29/2023 17:46,26.00000003,42.72
455,7/29/2023 18:31,21.0000428,98.146
462,8/13/2023 19:00,29.23134989,83.528
463,8/13/2023 19:15,25.0003814,72.105
464,8/13/2023 19:30,23.75164954,67.607
465,8/13/2023 19:45,22.22200007,70.3
466,8/13/2023 20:00,22.22200002,67.88
467,8/13/2023 20:15,21.90499996,84.66
468,8/13/2023 20:30,17.99999996,67.57
469,8/13/2023 20:45,20.49895521,54.936
470,8/13/2023 21:00,12.5580333,75.338
471,8/13/2023 21:15,18.00054756,59.166
472,8/13/2023 21:30,20.00062928,50.774
476,8/28/2023 12:20,77.89499993,232.052
477,8/28/2023 12:35,43.00000009,143.896
478,8/28/2023 12:50,36,104.006
479,8/28/2023 13:05,28.8362148,88.144
480,8/28/2023 13:20,29.5451921,92.256
481,8/28/2023 14:05,26.84115408,82.494
482,8/28/2023 14:35,24.00051874,69.395
483,8/28/2023 15:20,23.57142857,0
490,9/14/2023 17:45,30.76835869,95.963
491,9/14/2023 18:00,30.19991885,80.18
492,9/14/2023 18:15,29.17968566,70.51
493,9/14/2023 18:45,20.4175278,64.437
494,9/14/2023 19:15,17.99943179,46.07
436,7/20/2023 14:15,13.33333333,0
475,8/16/2023 16:30,5.714285714,0
474,8/15/2023 12:00,5.333333333,0
