sample,T1-A,T1-B,T1-C,T1-D,T2-A,T2-B,T3-C,T3-D,T5-A,T5-B,T5-C,T5-D,T6-B,T6-C,T6-D,T7-A,T7-B,T7-C,T7-D,T8-A,T8-C,T8-D
0.37,0.000781171,0.000840759,0.000803674,0.001199597,0.000779051,0.000596642,0.00138734,0.000768093,0.000805296,0.000810211,0.001491962,0.001046173,0.000880885,0.001261827,0.000610074,0.000751313,0.000901975,0.001765887,0.001047662,0.002183743,0.001222705,0.00082328
0.44,0.000781171,0.000873096,0.000838617,0.001244026,0.000779051,0.000620507,0.001445146,0.000794579,0.000864948,0.000880664,0.001602478,0.001129867,0.000920926,0.001319183,0.000636599,0.000822866,0.000966401,0.001833806,0.001085079,0.002391718,0.001320521,0.000869018
0.52,0.000818369,0.000905433,0.000908501,0.001288456,0.000818004,0.000668239,0.001560757,0.000847551,0.0009246,0.000986344,0.001712993,0.00121356,0.001001006,0.001433894,0.000689649,0.00089442,0.001030828,0.002037562,0.001197328,0.002703681,0.001418338,0.000914755
0.61,0.000892766,0.000937769,0.000978386,0.001377315,0.000895909,0.000739836,0.001734174,0.000927008,0.001043903,0.001092024,0.001878767,0.001422795,0.001081087,0.001548606,0.000742698,0.001001751,0.001095255,0.002241319,0.001346994,0.003119633,0.001613971,0.001006231
0.72,0.000967164,0.000970107,0.001083213,0.001510604,0.000973814,0.000811433,0.001965398,0.001032953,0.001193032,0.001268157,0.002155056,0.00163203,0.001201207,0.001720673,0.000848798,0.001144858,0.001224108,0.002512994,0.001534077,0.003639571,0.001858512,0.001097706
0.85,0.001078759,0.001099454,0.001257925,0.001732751,0.001090671,0.000930761,0.002254427,0.001165382,0.001401812,0.001479516,0.002486603,0.001924958,0.001361368,0.001950096,0.000954898,0.001323742,0.001417388,0.002920506,0.001758576,0.004367485,0.002151961,0.001280657
1.01,0.001339149,0.001358149,0.001572406,0.002088187,0.001363339,0.001145552,0.002774679,0.001403756,0.00170007,0.001831782,0.003039182,0.002343427,0.00168169,0.002408942,0.001167098,0.001609957,0.001739522,0.003599694,0.002170157,0.005407363,0.002641043,0.001555084
1.19,0.001822731,0.001907876,0.002201368,0.002932348,0.001869723,0.001599,0.00387299,0.001933475,0.002356237,0.002501087,0.004199597,0.003264059,0.002282294,0.003269278,0.001618022,0.002253939,0.002319362,0.004958068,0.00299332,0.00738313,0.003668115,0.002149675
1.4,0.002603901,0.002748635,0.003249639,0.004265233,0.002648774,0.002291104,0.005607165,0.00275454,0.003429966,0.003628337,0.006078364,0.004728701,0.0032833,0.004703172,0.00230767,0.00325569,0.00335019,0.007267306,0.004302897,0.010710737,0.005330994,0.003064431
1.65,0.00316188,0.003395373,0.004088256,0.005287112,0.003233062,0.002840015,0.006936699,0.003363717,0.004265088,0.004509002,0.007515068,0.005900414,0.004004024,0.00567822,0.002838169,0.004042779,0.004058884,0.008965274,0.005350559,0.013310431,0.006602607,0.00370476
1.95,0.003571065,0.003977437,0.004787103,0.006175703,0.003700492,0.003269597,0.008035009,0.003840464,0.004921255,0.005213533,0.008675483,0.006821046,0.004524547,0.006481201,0.003209519,0.004650985,0.004574298,0.010459487,0.006136305,0.015390186,0.00762968,0.004207875
2.3,0.003943051,0.00446249,0.005485951,0.006975434,0.004090018,0.003675314,0.00913332,0.00426424,0.005547597,0.005918065,0.00978064,0.007699831,0.00500503,0.00716947,0.003554343,0.005223414,0.005154139,0.01188578,0.006922052,0.017365953,0.008607844,0.004665253
2.72,0.00424064,0.004818196,0.006010086,0.007597447,0.004401639,0.004009433,0.010058213,0.004608557,0.005994984,0.006446464,0.010720023,0.008411229,0.005365392,0.007628316,0.003793067,0.005652736,0.005476272,0.013108318,0.007520716,0.019029757,0.009390375,0.00493968
3.2,0.00450103,0.005141564,0.006464336,0.008130601,0.004674306,0.004295821,0.0109253,0.004873417,0.006412545,0.006869182,0.011604149,0.009038933,0.005645674,0.008029806,0.004005267,0.006046281,0.005798406,0.014195018,0.008044547,0.020381598,0.009977273,0.005168368
3.78,0.004873016,0.005529607,0.007023415,0.008797044,0.004985927,0.004653806,0.012139222,0.005217734,0.006919583,0.007397581,0.012709306,0.009875871,0.006046076,0.008546008,0.004270516,0.006511379,0.00612054,0.01568923,0.008680627,0.022253377,0.010661988,0.005442795
