Size,Correction
0.37,0.88372796
0.44,0.880452237
0.52,0.874625582
0.61,0.869419814
0.72,0.8637742
0.85,0.861235073
1.01,0.863308215
1.19,0.867195486
1.4,0.870442494
1.65,0.876433283
1.95,0.881175968
2.3,0.880525136
2.72,0.883680862
3.2,0.881312097
3.78,0.880415431
4.46,0.877306607
5.27,0.874014991
6.21,0.872023412
7.33,0.870498325
8.65,0.867928516
10.21,0.864348143
12.05,0.858917802
14.22,0.852382931
16.78,0.844429556
19.81,0.834987851
23.37,0.823828954
27.58,0.815063896
32.55,0.811412769
38.41,0.818377743
45.32,0.840896514
53.48,0.873697053
63.11,0.919406352
74.48,0.965700138
87.89,1.021868767
103.72,1.080278293
122.39,1.152361399
144.43,1.250178262
170.44,1.411474638
201.13,1.663602633
237.35,2.033585747
280.09,2.495128738
330.52,3.237273222
390.04,4.751207475
460.27,8.509662214
